tgl,so2_dki1,pm10_dki1,no2_dki1,co_dki1,o3_dki1,pm25_dki1,so2_dki2,pm10_dki2,no2_dki2,co_dki2,o3_dki2,pm25_dki2,so2_dki3,pm10_dki3,no2_dki3,co_dki3,o3_dki3,pm25_dki3,so2_dki4,pm10_dki4,no2_dki4,co_dki4,o3_dki4,pm25_dki4,so2_dki5,pm10_dki5,no2_dki5,co_dki5,o3_dki5,pm25_dki5
2025-01-06 22:00:00+00:00,16,53,21,28,11,0,27,60,36,16,12,72,17,55,48,12,17,84,0,60,11,18,27,50,21,0,0,7,19,52
2025-01-06 23:00:00+00:00,16,54,21,27,11,0,28,61,37,16,12,71,17,55,48,12,18,84,0,60,11,18,28,50,21,0,0,6,20,52
2025-01-07 00:00:00+00:00,17,55,21,26,12,0,28,61,37,15,13,69,17,55,48,11,19,84,0,61,11,17,29,51,22,0,0,6,21,52
2025-01-07 02:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 03:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 04:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 05:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 06:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 07:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 08:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 09:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 10:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 11:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 12:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 13:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 14:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 15:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 18:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 19:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-07 21:00:00+00:00,14,32,21,24,7,51,24,31,16,12,11,44,13,51,37,7,10,71,10,34,8,12,15,24,19,11,4,4,20,46
2025-01-07 23:00:00+00:00,14,32,20,24,7,51,25,31,16,12,11,45,13,50,37,7,10,71,11,33,8,10,15,25,21,12,4,4,20,45
2025-01-08 03:00:00+00:00,15,33,21,24,7,51,26,32,15,11,11,45,14,50,31,5,11,71,11,31,9,8,15,21,23,12,5,4,19,48
2025-01-08 04:00:00+00:00,15,33,21,24,7,51,26,32,15,11,11,45,14,50,29,5,11,70,11,31,9,8,15,21,22,12,5,4,19,46
