tanggal;pm10;pm25;so2;co;o3;no2
2023-01-01;44.0;55.0;47.0;10.0;24.0;9.0
2023-01-02;32.0;43.0;52.0;9.0;24.0;8.0
2023-01-03;31.0;35.0;49.0;9.0;12.0;7.0
2023-01-04;30.0;47.0;53.0;11.0;15.0;9.0
2023-01-05;38.0;50.0;50.0;13.0;26.0;11.0
2023-01-06;31.0;48.0;45.0;10.0;13.0;7.0
2023-01-07;25.0;42.0;44.0;10.0;9.0;5.0
2023-01-08;28.0;49.0;47.0;11.0;9.0;4.0
2023-01-09;25.0;39.0;48.0;10.0;12.0;5.0
2023-01-10;37.0;44.0;45.0;11.0;21.0;8.0
2023-01-11;42.0;65.0;47.0;13.0;25.0;10.0
2023-01-12;53.0;69.0;49.0;12.0;28.0;13.0
2023-01-13;57.0;78.0;47.0;11.0;26.0;18.0
2023-01-14;51.0;70.0;45.0;11.0;31.0;14.0
2023-01-15;46.0;57.0;44.0;11.0;24.0;7.0
2023-01-16;34.0;40.0;42.0;11.0;11.0;6.0
2023-01-17;40.0;52.0;45.0;12.0;9.0;6.0
2023-01-18;55.0;71.0;55.0;12.0;10.0;11.0
2023-01-19;53.0;63.0;53.0;11.0;9.0;10.0
2023-01-20;42.0;57.0;51.0;10.0;12.0;9.0
2023-01-21;42.0;59.0;;9.0;10.0;20.0
2023-01-22;37.0;46.0;;7.0;11.0;17.0
2023-01-23;21.0;32.0;;6.0;13.0;12.0
2023-01-24;29.0;39.0;;7.0;10.0;20.0
2023-01-25;30.0;50.0;56.0;6.0;10.0;16.0
2023-01-26;41.0;45.0;45.0;8.0;11.0;20.0
2023-01-27;47.0;56.0;44.0;11.0;21.0;25.0
2023-01-28;33.0;45.0;41.0;8.0;14.0;27.0
2023-01-29;50.0;60.0;43.0;10.0;20.0;26.0
2023-01-30;37.0;56.0;44.0;9.0;21.0;27.0
2023-01-31;50.0;65.0;55.0;9.0;16.0;30.0
2023-02-01;46.0;57.0;51.0;9.0;23.0;32.0
2023-02-02;49.0;61.0;43.0;9.0;26.0;29.0
2023-02-03;28.0;42.0;50.0;5.0;21.0;24.0
2023-02-04;55.0;71.0;53.0;8.0;25.0;27.0
2023-02-05;45.0;59.0;45.0;6.0;27.0;17.0
2023-02-06;34.0;51.0;52.0;6.0;15.0;12.0
2023-02-07;41.0;52.0;50.0;7.0;14.0;22.0
2023-02-08;30.0;38.0;40.0;8.0;31.0;24.0
2023-02-09;31.0;43.0;38.0;6.0;11.0;17.0
2023-02-10;25.0;30.0;37.0;6.0;19.0;15.0
2023-02-11;34.0;34.0;35.0;8.0;21.0;19.0
2023-02-12;20.0;16.0;34.0;5.0;23.0;16.0
2023-02-13;28.0;26.0;34.0;5.0;23.0;13.0
2023-02-14;23.0;18.0;34.0;5.0;23.0;11.0
2023-02-15;21.0;21.0;34.0;6.0;17.0;11.0
2023-02-16;29.0;30.0;35.0;6.0;20.0;15.0
2023-02-17;33.0;43.0;39.0;7.0;18.0;21.0
2023-02-18;54.0;70.0;43.0;11.0;22.0;26.0
2023-02-19;56.0;73.0;39.0;8.0;27.0;25.0
2023-02-20;38.0;50.0;39.0;7.0;23.0;14.0
2023-02-21;24.0;32.0;39.0;8.0;21.0;16.0
2023-02-22;29.0;31.0;40.0;8.0;23.0;19.0
2023-02-23;36.0;47.0;40.0;;23.0;23.0
