"time","station_id","tavg","rhum","prcp","wspd","wdir"
2023-01-01 00:00:00.000,96745,26.4,86,26.2,2,C
2023-01-02 00:00:00.000,96745,27.4,83,2.5,3,W
2023-01-03 00:00:00.000,96745,26.6,87,10.7,3,W
2023-01-04 00:00:00.000,96745,25.7,87,7.0,2,C
2023-01-05 00:00:00.000,96745,27.8,78,0.0,2,C
2023-01-06 00:00:00.000,96745,29.7,74,0.8,4,W
2023-01-07 00:00:00.000,96745,29.8,76,0.1,3,W
2023-01-08 00:00:00.000,96745,28.8,79,3.8,3,W
2023-01-09 00:00:00.000,96745,29.4,81,8.6,2,C
2023-01-10 00:00:00.000,96745,29.9,77,1.2,2,C
2023-01-11 00:00:00.000,96745,29.3,79,1.1,2,C
2023-01-12 00:00:00.000,96745,29.6,77,0.4,2,C
2023-01-13 00:00:00.000,96745,28.8,83,6.6,2,C
2023-01-14 00:00:00.000,96745,29.4,79,1.3,2,C
2023-01-15 00:00:00.000,96745,30.0,72,1.4,3,W
2023-01-16 00:00:00.000,96745,28.8,76,2.0,4,W
2023-01-17 00:00:00.000,96745,27.7,85,7.9,3,W
2023-01-18 00:00:00.000,96745,27.9,85,8.3,3,W
2023-01-19 00:00:00.000,96745,27.7,84,5.2,3,W
2023-01-20 00:00:00.000,96745,28.7,79,4.0,3,W
2023-01-21 00:00:00.000,96745,28.9,78,4.6,3,W
2023-01-22 00:00:00.000,96745,29.2,75,0.9,4,W
2023-01-23 00:00:00.000,96745,28.6,81,3.3,4,W
2023-01-24 00:00:00.000,96745,29.0,78,1.0,4,W
2023-01-25 00:00:00.000,96745,27.1,85,7.9,4,W
2023-01-26 00:00:00.000,96745,27.6,80,3.6,3,W
2023-01-27 00:00:00.000,96745,27.2,85,5.3,3,W
2023-01-28 00:00:00.000,96745,25.8,90,16.9,2,C
2023-01-29 00:00:00.000,96745,27.4,86,26.9,3,W
2023-01-30 00:00:00.000,96745,28.3,80,2.5,3,W
2023-01-31 00:00:00.000,96745,27.9,84,2.5,4,W
2023-02-01 00:00:00.000,96745,26.9,87,18.6,3,W
2023-02-02 00:00:00.000,96745,25.8,90,7.9,2,C
2023-02-03 00:00:00.000,96745,27.2,84,5.7,2,C
2023-02-04 00:00:00.000,96745,28.1,83,2.0,3,W
2023-02-05 00:00:00.000,96745,29.2,73,0.9,3,W
2023-02-06 00:00:00.000,96745,29.3,76,0.0,3,W
2023-02-07 00:00:00.000,96745,27.2,86,6.1,2,C
2023-02-08 00:00:00.000,96745,27.8,79,4.6,2,C
2023-02-09 00:00:00.000,96745,27.4,75,3.0,4,W
2023-02-10 00:00:00.000,96745,27.8,84,18.5,4,W
2023-02-11 00:00:00.000,96745,26.6,89,10.0,3,W
2023-02-12 00:00:00.000,96745,25.6,89,31.8,3,W
2023-02-13 00:00:00.000,96745,27.3,82,4.0,4,W
2023-02-14 00:00:00.000,96745,27.9,83,11.8,5,W
2023-02-15 00:00:00.000,96745,27.7,83,3.2,4,W
2023-02-16 00:00:00.000,96745,27.2,87,10.6,3,W
2023-02-17 00:00:00.000,96745,27.2,87,8.9,3,W
2023-02-18 00:00:00.000,96745,27.7,84,1.9,3,W
2023-02-19 00:00:00.000,96745,27.8,84,6.2,3,W
2023-02-20 00:00:00.000,96745,28.2,81,5.2,4,W
2023-02-21 00:00:00.000,96745,27.2,85,8.4,3,W
2023-02-22 00:00:00.000,96745,27.3,89,17.1,3,W
2023-02-23 00:00:00.000,96745,26.7,90,23.2,3,W
2023-02-24 00:00:00.000,96745,25.9,91,32.7,3,W
2023-02-25 00:00:00.000,96745,27.0,87,0.0,4,W
2023-02-26 00:00:00.000,96745,26.6,89,34.1,3,W
2023-02-27 00:00:00.000,96745,27.4,85,18.5,4,W
2023-02-28 00:00:00.000,96745,27.0,88,11.8,3,W
2023-03-01 00:00:00.000,96745,26.2,88,8.8,4,W
2023-03-02 00:00:00.000,96745,25.4,92,46.3,3,W
2023-03-03 00:00:00.000,96745,26.2,85,11.4,4,W
2023-03-04 00:00:00.000,96745,26.9,86,8.0,3,W
2023-03-05 00:00:00.000,96745,27.1,83,4.0,3,W
2023-03-06 00:00:00.000,96745,28.5,80,2.1,4,W
2023-03-07 00:00:00.000,96745,28.1,82,5.9,3,W
2023-03-08 00:00:00.000,96745,26.7,86,1.2,2,C
2023-03-09 00:00:00.000,96745,27.3,85,0.9,2,C
2023-03-10 00:00:00.000,96745,28.0,85,2.9,2,C
2023-03-11 00:00:00.000,96745,29.1,83,9.2,2,C
2023-03-12 00:00:00.000,96745,28.0,85,3.8,2,C
2023-03-13 00:00:00.000,96745,28.8,80,5.3,2,C
2023-03-14 00:00:00.000,96745,27.3,87,12.3,2,C
2023-03-15 00:00:00.000,96745,26.1,88,3.6,2,C
2023-03-16 00:00:00.000,96745,28.1,82,0.9,4,W
2023-03-17 00:00:00.000,96745,28.8,82,8.7,2,C
2023-03-18 00:00:00.000,96745,28.7,83,2.3,2,C
2023-03-19 00:00:00.000,96745,28.8,84,3.7,2,C
2023-03-20 00:00:00.000,96745,28.4,81,1.9,2,C
2023-03-21 00:00:00.000,96745,29.8,79,1.4,2,C
2023-03-22 00:00:00.000,96745,29.6,81,0.0,2,C
2023-03-23 00:00:00.000,96745,29.7,79,0.0,2,C
2023-03-24 00:00:00.000,96745,29.4,80,0.4,2,C
2023-03-25 00:00:00.000,96745,27.0,88,5.0,3,W
2023-03-26 00:00:00.000,96745,27.8,86,12.4,2,C
2023-03-27 00:00:00.000,96745,27.9,85,0.3,2,C
2023-03-28 00:00:00.000,96745,27.3,86,4.8,2,C
2023-03-29 00:00:00.000,96745,27.0,86,11.1,2,C
2023-03-30 00:00:00.000,96745,27.6,89,16.9,2,C
2023-03-31 00:00:00.000,96745,29.2,77,1.9,3,W
2023-04-01 00:00:00.000,96745,27.7,81,3.1,4,W
2023-04-02 00:00:00.000,96745,28.4,81,1.8,3,W
2023-04-03 00:00:00.000,96745,28.5,79,2.1,2,C
2023-04-04 00:00:00.000,96745,28.7,76,0.7,3,W
2023-04-05 00:00:00.000,96745,29.2,73,0.0,2,C
2023-04-06 00:00:00.000,96745,30.2,66,0.0,3,W
2023-04-07 00:00:00.000,96745,29.2,73,0.8,2,C
2023-04-08 00:00:00.000,96745,29.2,77,2.2,2,C
2023-04-09 00:00:00.000,96745,29.3,75,2.3,2,C
2023-04-10 00:00:00.000,96745,28.8,74,0.0,5,W
2023-04-11 00:00:00.000,96745,29.3,76,4.1,4,W
2023-04-12 00:00:00.000,96745,29.5,74,1.4,4,W
2023-04-13 00:00:00.000,96745,29.5,75,1.4,3,W
2023-04-14 00:00:00.000,96745,28.2,83,3.5,3,W
2023-04-15 00:00:00.000,96745,28.9,81,7.1,2,C
2023-04-16 00:00:00.000,96745,28.6,82,5.5,2,C
2023-04-17 00:00:00.000,96745,29.7,81,7.2,2,C
2023-04-18 00:00:00.000,96745,29.2,84,7.2,2,C
2023-04-19 00:00:00.000,96745,28.6,84,15.5,2,C
2023-04-20 00:00:00.000,96745,29.1,83,4.6,2,C
2023-04-21 00:00:00.000,96745,29.5,83,1.8,2,C
2023-04-22 00:00:00.000,96745,30.2,80,2.3,2,C
2023-04-23 00:00:00.000,96745,29.6,85,9.1,2,C
2023-04-24 00:00:00.000,96745,29.2,83,3.7,2,C
2023-04-25 00:00:00.000,96745,28.8,83,2.1,1,C
2023-04-26 00:00:00.000,96745,29.1,81,3.2,2,C
2023-04-27 00:00:00.000,96745,30.0,82,4.7,2,C
2023-04-28 00:00:00.000,96745,29.6,83,2.1,2,C
2023-04-29 00:00:00.000,96745,29.5,81,0.6,2,C
2023-04-30 00:00:00.000,96745,29.8,81,21.5,2,C
2023-05-01 00:00:00.000,96745,28.8,84,2.9,2,C
2023-05-02 00:00:00.000,96745,29.4,84,5.9,2,C
2023-05-03 00:00:00.000,96745,29.5,84,6.3,2,C
2023-05-04 00:00:00.000,96745,29.8,85,7.9,2,C
2023-05-05 00:00:00.000,96745,28.6,85,7.1,2,C
2023-05-06 00:00:00.000,96745,29.5,82,4.7,1,C
2023-05-07 00:00:00.000,96745,28.6,86,6.1,2,C
2023-05-08 00:00:00.000,96745,28.7,84,4.9,2,C
2023-05-09 00:00:00.000,96745,30.4,80,0.5,2,C
2023-05-10 00:00:00.000,96745,30.7,78,2.4,2,C
2023-05-11 00:00:00.000,96745,29.1,77,0.4,4,W
2023-05-12 00:00:00.000,96745,30.8,77,0.6,4,W
2023-05-13 00:00:00.000,96745,29.1,85,9.5,2,C
2023-05-14 00:00:00.000,96745,29.5,72,1.3,2,C
2023-05-15 00:00:00.000,96745,29.5,74,0.0,2,C
2023-05-16 00:00:00.000,96745,30.0,74,0.5,2,C
2023-05-17 00:00:00.000,96745,30.3,75,1.5,2,C
2023-05-18 00:00:00.000,96745,29.1,81,2.8,2,C
2023-05-19 00:00:00.000,96745,29.7,79,3.4,2,C
2023-05-20 00:00:00.000,96745,29.6,80,0.9,3,W
2023-05-21 00:00:00.000,96745,29.2,81,3.4,2,C
2023-05-22 00:00:00.000,96745,29.4,81,1.8,2,C
2023-05-23 00:00:00.000,96745,29.5,79,1.0,2,C
2023-05-24 00:00:00.000,96745,29.6,79,2.3,2,C
2023-05-25 00:00:00.000,96745,29.8,78,2.1,2,C
2023-05-26 00:00:00.000,96745,30.2,77,1.6,2,C
2023-05-27 00:00:00.000,96745,28.8,78,0.5,2,C
2023-05-28 00:00:00.000,96745,29.3,79,2.5,2,C
2023-05-29 00:00:00.000,96745,29.8,78,1.0,2,C
2023-05-30 00:00:00.000,96745,29.6,80,2.3,2,C
2023-05-31 00:00:00.000,96745,29.8,76,0.8,2,C
2023-06-01 00:00:00.000,96745,29.7,75,2.5,3,W
2023-06-02 00:00:00.000,96745,30.2,75,0.0,2,C
2023-06-03 00:00:00.000,96745,30.1,76,0.8,2,C
2023-06-04 00:00:00.000,96745,29.6,79,0.7,2,C
2023-06-05 00:00:00.000,96745,29.6,79,1.6,2,C
2023-06-06 00:00:00.000,96745,27.7,84,2.4,2,C
2023-06-07 00:00:00.000,96745,29.6,81,5.4,2,C
2023-06-08 00:00:00.000,96745,29.7,80,4.2,2,C
2023-06-09 00:00:00.000,96745,29.9,77,1.9,2,C
2023-06-10 00:00:00.000,96745,29.6,78,0.7,2,C
2023-06-11 00:00:00.000,96745,29.2,72,0.0,2,C
2023-06-12 00:00:00.000,96745,29.8,76,0.5,2,C
2023-06-13 00:00:00.000,96745,30.4,78,3.9,2,C
2023-06-14 00:00:00.000,96745,29.8,83,25.6,2,C
2023-06-15 00:00:00.000,96745,29.3,81,17.0,2,C
2023-06-16 00:00:00.000,96745,25.8,92,7.7,2,C
2023-06-17 00:00:00.000,96745,28.1,82,2.9,2,C
2023-06-18 00:00:00.000,96745,28.8,85,4.3,2,C
2023-06-19 00:00:00.000,96745,27.1,88,9.3,2,C
2023-06-20 00:00:00.000,96745,29.5,80,0.1,2,C
2023-06-21 00:00:00.000,96745,29.6,84,2.9,2,C
2023-06-22 00:00:00.000,96745,29.5,80,0.5,2,C
2023-06-23 00:00:00.000,96745,29.5,82,2.5,2,C
2023-06-24 00:00:00.000,96745,28.7,82,1.0,2,C
2023-06-25 00:00:00.000,96745,28.0,84,7.6,2,C
2023-06-26 00:00:00.000,96745,28.7,83,0.0,2,C
2023-06-27 00:00:00.000,96745,28.8,78,1.9,2,C
2023-06-28 00:00:00.000,96745,29.5,76,2.0,2,C
2023-06-29 00:00:00.000,96745,29.0,77,4.1,2,C
2023-06-30 00:00:00.000,96745,29.9,78,4.1,2,C
2023-07-01 00:00:00.000,96745,29.3,80,7.3,2,C
2023-07-02 00:00:00.000,96745,29.0,81,2.8,2,C
2023-07-03 00:00:00.000,96745,29.3,79,2.7,2,C
2023-07-04 00:00:00.000,96745,29.4,76,1.0,2,C
2023-07-05 00:00:00.000,96745,29.8,78,1.2,2,C
2023-07-06 00:00:00.000,96745,27.8,86,8.9,2,C
2023-07-07 00:00:00.000,96745,27.1,86,1.0,2,C
2023-07-08 00:00:00.000,96745,28.3,84,7.3,2,C
2023-07-09 00:00:00.000,96745,29.3,77,0.8,2,C
2023-07-10 00:00:00.000,96745,29.5,81,8.6,3,W
2023-07-11 00:00:00.000,96745,29.6,78,2.4,2,C
2023-07-12 00:00:00.000,96745,29.3,77,0.6,2,C
2023-07-13 00:00:00.000,96745,29.2,73,0.1,2,C
