time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-01-01;44.0;55.0;47.0;10.0;24.0;9.0;26.4;86.0;26.2;8.2;278.0
2023-01-02;32.0;43.0;52.0;9.0;24.0;8.0;27.4;83.0;2.5;9.6;281.0
2023-01-03;31.0;35.0;49.0;9.0;12.0;7.0;26.6;87.0;10.7;10.6;275.0
2023-01-04;30.0;47.0;53.0;11.0;15.0;9.0;25.7;87.0;7.0;7.1;276.0
2023-01-05;38.0;50.0;50.0;13.0;26.0;11.0;27.8;78.0;0.0;7.1;273.0
2023-01-06;31.0;48.0;45.0;10.0;13.0;7.0;29.7;74.0;0.8;12.6;265.0
2023-01-07;25.0;42.0;44.0;10.0;9.0;5.0;29.8;76.0;0.1;11.6;269.0
2023-01-08;28.0;49.0;47.0;11.0;9.0;4.0;28.8;79.0;3.8;10.4;279.0
2023-01-09;25.0;39.0;48.0;10.0;12.0;5.0;29.4;81.0;8.6;7.4;275.0
2023-01-10;37.0;44.0;45.0;11.0;21.0;8.0;29.9;77.0;1.2;8.4;274.0
2023-01-11;42.0;65.0;47.0;13.0;25.0;10.0;29.3;79.0;1.1;6.6;325.0
2023-01-12;53.0;69.0;49.0;12.0;28.0;13.0;29.6;77.0;0.4;5.5;2.0
2023-01-13;57.0;78.0;47.0;11.0;26.0;18.0;28.8;83.0;6.6;7.0;30.0
2023-01-14;51.0;70.0;45.0;11.0;31.0;14.0;29.4;79.0;1.3;6.2;308.0
2023-01-15;46.0;57.0;44.0;11.0;24.0;7.0;30.0;72.0;1.4;10.4;277.0
2023-01-16;34.0;40.0;42.0;11.0;11.0;6.0;28.8;76.0;2.0;13.5;277.0
2023-01-17;40.0;52.0;45.0;12.0;9.0;6.0;27.7;85.0;7.9;11.7;292.0
2023-01-18;55.0;71.0;55.0;12.0;10.0;11.0;27.9;85.0;8.3;10.2;304.0
2023-01-19;53.0;63.0;53.0;11.0;9.0;10.0;27.7;84.0;5.2;11.8;291.0
2023-01-20;42.0;57.0;51.0;10.0;12.0;9.0;28.7;79.0;4.0;10.7;282.0
2023-01-21;42.0;59.0;49.0;9.0;10.0;20.0;28.9;78.0;4.6;12.5;276.0
2023-01-22;37.0;46.0;38.4;7.0;11.0;17.0;29.2;75.0;0.9;13.2;272.0
2023-01-23;21.0;32.0;51.6;6.0;13.0;12.0;28.6;81.0;3.3;15.3;265.0
