time;tavg;rhum;prcp;wspd;wdir
2023-01-01;26.4;86.0;26.2;8.2;278.0
2023-01-02;27.4;83.0;2.5;9.6;281.0
2023-01-03;26.6;87.0;10.7;10.6;275.0
2023-01-04;25.7;87.0;7.0;7.1;276.0
2023-01-05;27.8;78.0;0.0;7.1;273.0
2023-01-06;29.7;74.0;0.8;12.6;265.0
2023-01-07;29.8;76.0;0.1;11.6;269.0
2023-01-08;28.8;79.0;3.8;10.4;279.0
2023-01-09;29.4;81.0;8.6;7.4;275.0
2023-01-10;29.9;77.0;1.2;8.4;274.0
2023-01-11;29.3;79.0;1.1;6.6;325.0
2023-01-12;29.6;77.0;0.4;5.5;2.0
2023-01-13;28.8;83.0;6.6;7.0;30.0
2023-01-14;29.4;79.0;1.3;6.2;308.0
2023-01-15;30.0;72.0;1.4;10.4;277.0
2023-01-16;28.8;76.0;2.0;13.5;277.0
2023-01-17;27.7;85.0;7.9;11.7;292.0
2023-01-18;27.9;85.0;8.3;10.2;304.0
2023-01-19;27.7;84.0;5.2;11.8;291.0
2023-01-20;28.7;79.0;4.0;10.7;282.0
2023-01-21;28.9;78.0;4.6;12.5;276.0
2023-01-22;29.2;75.0;0.9;13.2;272.0
2023-01-23;28.6;81.0;3.3;15.3;265.0
2023-01-24;29.0;78.0;1.0;15.8;277.0
2023-01-25;27.1;85.0;7.9;13.6;279.0
2023-01-26;27.6;80.0;3.6;11.0;297.0
2023-01-27;27.2;85.0;5.3;10.7;298.0
2023-01-28;25.8;90.0;16.9;8.1;301.0
2023-01-29;27.4;86.0;26.9;12.5;290.0
2023-01-30;28.3;80.0;2.5;11.8;302.0
2023-01-31;27.9;84.0;2.5;13.0;295.0
2023-02-01;26.9;87.0;18.6;10.5;296.0
2023-02-02;25.8;90.0;7.9;7.6;297.0
2023-02-03;27.2;84.0;5.7;8.1;304.0
2023-02-04;28.1;83.0;2.0;9.2;290.0
2023-02-05;29.2;73.0;0.9;11.7;286.0
2023-02-06;29.3;76.0;0.0;10.4;294.0
2023-02-07;27.2;86.0;6.1;7.3;265.0
2023-02-08;27.8;79.0;4.6;8.5;285.0
2023-02-09;27.4;75.0;3.0;13.2;268.0
2023-02-10;27.8;84.0;18.5;14.8;284.0
2023-02-11;26.6;89.0;10.0;9.7;292.0
2023-02-12;25.6;89.0;31.8;9.8;253.0
2023-02-13;27.3;82.0;4.0;13.0;263.0
2023-02-14;27.9;83.0;11.8;16.4;261.0
2023-02-15;27.7;83.0;3.2;15.1;278.0
2023-02-16;27.2;87.0;10.6;12.5;283.0
2023-02-17;27.2;87.0;8.9;11.3;284.0
2023-02-18;27.7;84.0;1.9;10.3;294.0
2023-02-19;27.8;84.0;6.2;11.8;296.0
2023-02-20;28.2;81.0;5.2;13.0;281.0
2023-02-21;27.2;85.0;8.4;11.4;288.0
2023-02-22;27.3;89.0;17.1;11.0;294.0
2023-02-23;26.7;90.0;23.2;12.2;290.0
2023-02-24;25.9;91.0;32.7;9.8;278.0
2023-02-25;27.0;87.0;0.0;13.3;280.0
2023-02-26;26.6;89.0;34.1;12.4;287.0
2023-02-27;27.4;85.0;18.5;14.7;297.0
2023-02-28;27.0;88.0;11.8;12.4;272.0
2023-03-01;26.2;88.0;8.8;14.0;281.0
2023-03-02;25.4;92.0;46.3;11.6;271.0
2023-03-03;26.2;85.0;11.4;13.7;271.0
2023-03-04;26.9;86.0;8.0;11.3;276.0
2023-03-05;27.1;83.0;4.0;11.5;286.0
2023-03-06;28.5;80.0;2.1;13.4;283.0
2023-03-07;28.1;82.0;5.9;11.4;296.0
2023-03-08;26.7;86.0;1.2;7.2;302.0
2023-03-09;27.3;85.0;0.9;6.9;331.0
2023-03-10;28.0;85.0;2.9;6.6;309.0
2023-03-11;29.1;83.0;9.2;6.8;286.0
2023-03-12;28.0;85.0;3.8;7.1;326.0
2023-03-13;28.8;80.0;5.3;8.1;307.0
2023-03-14;27.3;87.0;12.3;7.6;315.0
2023-03-15;26.1;88.0;3.6;6.1;34.0
2023-03-16;28.1;82.0;0.9;16.2;4.0
2023-03-17;28.8;82.0;8.7;7.1;10.0
2023-03-18;28.7;83.0;2.3;6.6;300.0
2023-03-19;28.8;84.0;3.7;7.2;61.0
2023-03-20;28.4;81.0;1.9;7.3;144.0
2023-03-21;29.8;79.0;1.4;6.7;62.0
2023-03-22;29.6;81.0;0.0;5.6;55.0
2023-03-23;29.7;79.0;0.0;6.6;25.0
2023-03-24;29.4;80.0;0.4;7.2;302.0
2023-03-25;27.0;88.0;5.0;9.4;291.0
2023-03-26;27.8;86.0;12.4;8.3;288.0
2023-03-27;27.9;85.0;0.3;7.5;293.0
2023-03-28;27.3;86.0;4.8;5.5;2.0
