;pm10;pm25;so2;co;o3;no2;outlier_column;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR
2024-12-30;35.0;10.0;13.0;5.0;12.0;13.0;pm25;28.4;76.0;1.0;1.8;2.0;7.0
2024-12-31;29.0;11.0;6.0;13.0;10.0;18.0;pm25;28.4;76.0;2.0;2.4;2.0;8.0
2024-01-04;30.0;;112.0;20.0;8.0;77.0;so2;27.1;87.0;8.5;0.0;0.0;1.0
2023-10-31;67.0;95.0;45.0;5.0;48.0;33.0;o3;29.8;74.0;;6.5;1.0;1.0
2024-11-05;40.0;65.0;12.0;28.0;75.0;45.0;o3;28.6;78.0;0.0;2.8;2.0;1.0
2023-01-08;28.0;49.0;47.0;11.0;9.0;4.0;no2;28.1;76.0;;8.0;2.0;1.0
2024-04-02;67.0;97.0;14.0;28.0;28.0;62.0;no2;29.5;77.0;1.2;5.4;1.0;1.0
2024-04-05;67.0;102.0;13.0;34.0;26.0;58.0;no2;29.6;80.0;;6.2;0.0;1.0
2024-01-04;30.0;;112.0;20.0;8.0;77.0;no2;27.1;87.0;8.5;0.0;0.0;1.0
2024-12-07;66.0;103.0;69.0;27.0;12.0;98.0;no2;27.7;87.0;;0.2;0.0;1.0
2024-12-08;38.0;67.0;68.0;15.0;18.0;57.0;no2;28.2;82.0;30.4;1.4;1.0;1.0
2024-12-10;38.0;56.0;68.0;12.0;7.0;61.0;no2;27.7;82.0;26.0;0.0;3.0;8.0
2024-12-18;50.0;67.0;69.0;8.0;8.0;59.0;no2;29.1;72.0;;2.0;2.0;8.0
