Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR
2023-01-01;26.3;87.0;14.5;0.0;1.0;1.0
2023-01-02;27.5;81.0;31.5;0.7;2.0;9.0
2023-01-03;26.6;82.0;0.5;0.0;1.0;1.0
2023-01-04;26.4;86.0;2.4;;1.0;1.0
2023-01-05;27.4;83.0;35.3;;2.0;1.0
2023-01-06;29.6;68.0;2.3;2.2;1.0;1.0
2023-01-07;29.6;70.0;0.0;6.2;2.0;1.0
2023-01-08;28.1;76.0;;8.0;2.0;1.0
2023-01-09;29.0;73.0;;3.8;3.0;9.0
2023-01-10;30.1;65.0;;5.0;1.0;1.0
2023-01-11;28.8;73.0;0.0;5.0;1.0;1.0
2023-01-12;29.1;71.0;;0.0;0.0;1.0
2023-01-13;29.2;74.0;;8.3;1.0;1.0
2023-01-14;29.2;72.0;;4.5;1.0;1.0
2023-01-15;29.8;69.0;0.0;6.4;2.0;9.0
2023-01-16;28.9;70.0;;6.5;1.0;1.0
2023-01-17;27.6;77.0;;1.2;1.0;1.0
2023-01-18;27.7;78.0;0.0;0.0;1.0;1.0
2023-01-19;27.5;81.0;3.0;1.0;2.0;8.0
2023-01-20;28.6;72.0;;2.4;1.0;1.0
2023-01-21;28.6;74.0;;3.0;2.0;1.0
2023-01-22;29.2;71.0;0.0;5.0;2.0;8.0
2023-01-23;28.6;70.0;0.0;6.0;2.0;8.0
2023-01-24;29.1;71.0;;3.2;2.0;1.0
2023-01-25;27.2;78.0;;5.5;1.0;1.0
2023-01-26;27.8;79.0;;0.0;1.0;1.0
2023-01-27;27.6;80.0;27.5;2.4;1.0;1.0
2023-01-28;25.6;94.0;26.9;0.0;0.0;1.0
2023-01-29;26.7;86.0;27.0;0.0;1.0;1.0
2023-01-30;28.0;76.0;;0.0;1.0;1.0
2023-01-31;27.8;80.0;;3.0;1.0;1.0
2023-02-01;27.0;85.0;0.5;0.0;1.0;1.0
2023-02-02;27.2;88.0;31.8;0.2;2.0;1.0
2023-02-03;26.7;80.0;25.2;0.2;1.0;1.0
2023-02-04;27.7;83.0;;0.1;2.0;8.0
2023-02-05;28.4;77.0;;1.2;2.0;1.0
2023-02-06;29.2;67.0;1.2;5.5;2.0;1.0
2023-02-07;27.8;78.0;0.0;3.0;1.0;1.0
2023-02-08;27.1;87.0;62.8;2.0;1.0;1.0
2023-02-09;27.4;73.0;1.0;2.2;1.0;1.0
2023-02-10;27.9;77.0;9.6;1.5;2.0;1.0
2023-02-11;27.5;85.0;25.8;6.3;1.0;1.0
2023-02-12;25.0;92.0;40.8;1.5;2.0;8.0
2023-02-13;27.6;78.0;1.8;0.0;1.0;1.0
2023-02-14;27.3;79.0;5.4;0.9;2.0;9.0
2023-02-15;28.1;74.0;;0.9;1.0;1.0
2023-02-16;27.1;82.0;9.5;1.8;1.0;1.0
2023-02-17;27.0;81.0;31.0;1.8;1.0;1.0
2023-02-18;27.6;83.0;2.5;0.2;2.0;1.0
2023-02-19;27.5;82.0;3.8;5.2;1.0;1.0
2023-02-20;27.5;83.0;0.5;4.3;1.0;1.0
2023-02-21;28.0;77.0;10.0;6.5;1.0;1.0
2023-02-22;27.3;84.0;29.7;3.0;1.0;1.0
2023-02-23;26.9;87.0;21.5;3.2;1.0;1.0
2023-02-24;25.8;94.0;76.9;3.6;1.0;1.0
2023-02-25;27.0;86.0;74.1;0.0;2.0;8.0
2023-02-26;26.7;88.0;36.7;0.4;1.0;1.0
2023-02-27;27.1;84.0;38.9;0.5;1.0;1.0
2023-02-28;27.0;84.0;20.3;1.5;1.0;1.0
2023-03-01;26.7;88.0;12.7;1.0;1.0;1.0
2023-03-02;25.1;92.0;79.5;0.5;0.0;1.0
2023-03-03;27.0;84.0;3.8;0.0;1.0;1.0
2023-03-04;26.8;81.0;42.5;2.2;1.0;1.0
2023-03-05;26.6;87.0;2.2;2.0;0.0;1.0
2023-03-06;28.3;71.0;2.3;2.4;2.0;1.0
2023-03-07;27.7;76.0;;5.2;1.0;1.0
2023-03-08;26.5;88.0;4.0;8.0;1.0;1.0
2023-03-09;27.1;83.0;9.5;0.5;1.0;1.0
2023-03-10;27.8;81.0;10.0;6.1;1.0;1.0
2023-03-11;28.5;77.0;;8.4;1.0;1.0
2023-03-12;28.4;80.0;0.0;8.0;1.0;1.0
2023-03-13;28.4;72.0;;2.6;2.0;1.0
2023-03-14;27.2;82.0;;7.6;1.0;1.0
2023-03-15;25.5;90.0;11.0;0.0;1.0;1.0
2023-03-16;27.4;82.0;2.4;0.0;1.0;1.0
2023-03-17;28.6;75.0;;8.0;2.0;1.0
2023-03-18;28.3;78.0;;9.1;1.0;1.0
2023-03-19;28.7;81.0;0.0;8.0;2.0;1.0
2023-03-20;28.7;75.0;0.0;6.0;1.0;1.0
2023-03-21;29.2;69.0;;7.6;0.0;1.0
2023-03-22;29.1;76.0;;7.0;0.0;1.0
2023-03-23;29.3;76.0;;6.7;1.0;1.0
2023-03-24;29.3;78.0;0.0;7.0;1.0;1.0
2023-03-25;27.9;83.0;;5.0;1.0;1.0
2023-03-26;26.8;88.0;48.7;3.0;1.0;1.0
2023-03-27;27.4;84.0;;6.5;1.0;1.0
2023-03-28;27.3;86.0;4.2;3.0;0.0;1.0
2023-03-29;27.5;79.0;;0.0;1.0;1.0
2023-03-30;26.3;92.0;;;0.0;1.0
2023-03-31;28.8;70.0;3.2;4.0;2.0;1.0
2023-04-01;28.1;74.0;0.0;3.0;2.0;8.0
2023-04-02;28.8;76.0;1.2;0.3;1.0;1.0
2023-04-03;28.1;74.0;;6.9;1.0;1.0
2023-04-04;28.7;72.0;18.4;6.7;1.0;1.0
2023-04-05;29.0;69.0;;3.2;1.0;1.0
2023-04-06;30.3;56.0;0.0;9.2;1.0;1.0
2023-04-07;28.7;69.0;0.0;5.6;1.0;1.0
2023-04-08;28.9;74.0;0.0;8.0;1.0;1.0
2023-04-09;;;;7.6;2.0;9.0
2023-04-10;29.1;70.0;;5.0;2.0;9.0
2023-04-11;28.9;75.0;3.0;2.9;3.0;8.0
2023-04-12;29.6;66.0;;5.2;2.0;9.0
2023-04-13;29.4;73.0;0.0;5.5;1.0;1.0
2023-04-14;28.3;79.0;0.0;3.4;2.0;1.0
2023-04-15;28.3;81.0;66.6;5.8;1.0;1.0
2023-04-16;28.9;80.0;2.0;6.8;1.0;1.0
2023-04-17;29.3;76.0;12.0;5.5;1.0;1.0
2023-04-18;29.1;81.0;13.2;7.2;1.0;1.0
2023-04-19;29.7;79.0;1.2;4.8;1.0;1.0
2023-04-20;28.9;80.0;29.5;7.6;0.0;1.0
2023-04-21;29.2;81.0;5.8;3.7;1.0;1.0
2023-04-22;29.6;76.0;;6.4;1.0;1.0
2023-04-23;29.8;76.0;;7.0;1.0;1.0
2023-04-24;29.5;79.0;3.6;7.0;1.0;1.0
2023-04-25;28.5;81.0;9.7;7.5;0.0;1.0
2023-04-26;28.7;80.0;;3.2;1.0;1.0
2023-04-27;29.6;79.0;1.3;7.4;1.0;1.0
2023-04-28;29.4;79.0;0.0;5.8;1.0;1.0
2023-04-29;28.6;83.0;0.0;4.7;1.0;1.0
2023-04-30;29.6;76.0;;3.0;1.0;1.0
2023-05-01;28.8;80.0;0.0;4.8;0.0;1.0
