tanggal,index,pm10,pm25,so2,co,o3,no2,Tavg_km,RH_avg_km,RR_km,ss_km,ff_avg_km,DDD_CAR_km
2023-01-01,0.0,44.0,55.0,47.0,10.0,24.0,9.0,26.3,87.0,14.5,0.0,1.0,1.0
2023-01-02,1.0,32.0,43.0,52.0,9.0,24.0,8.0,27.5,81.0,31.5,0.7,2.0,9.0
2023-01-03,2.0,31.0,35.0,49.0,9.0,12.0,7.0,26.6,82.0,0.5,0.0,1.0,1.0
2023-01-04,3.0,30.0,47.0,53.0,11.0,15.0,9.0,26.4,86.0,2.4,2.1,1.0,1.0
2023-01-05,4.0,38.0,50.0,50.0,13.0,26.0,11.0,27.4,83.0,35.3,4.9,2.0,1.0
2023-01-06,5.0,31.0,48.0,45.0,10.0,13.0,7.0,29.6,68.0,2.3,2.2,1.0,1.0
2023-01-07,6.0,25.0,42.0,44.0,10.0,9.0,5.0,29.6,70.0,0.0,6.2,2.0,1.0
2023-01-08,7.0,28.0,49.0,47.0,11.0,9.0,4.0,28.1,76.0,0.0,8.0,2.0,1.0
2023-01-09,8.0,25.0,39.0,48.0,10.0,12.0,5.0,29.0,73.0,11.6,3.8,3.0,9.0
2023-01-10,9.0,37.0,44.0,45.0,11.0,21.0,8.0,30.1,65.0,0.1,5.0,1.0,1.0
2023-01-11,10.0,42.0,65.0,47.0,13.0,25.0,10.0,28.8,73.0,0.0,5.0,1.0,1.0
2023-01-12,11.0,53.0,69.0,49.0,12.0,28.0,13.0,29.1,71.0,6.2,0.0,0.0,1.0
2023-01-13,12.0,57.0,78.0,47.0,11.0,26.0,18.0,29.2,74.0,1.6,8.3,1.0,1.0
2023-01-14,13.0,51.0,70.0,45.0,11.0,31.0,14.0,29.2,72.0,1.6,4.5,1.0,1.0
2023-01-15,14.0,46.0,57.0,44.0,11.0,24.0,7.0,29.8,69.0,0.0,6.4,2.0,9.0
2023-01-16,15.0,34.0,40.0,42.0,11.0,11.0,6.0,28.9,70.0,0.0,6.5,1.0,1.0
2023-01-17,16.0,40.0,52.0,45.0,12.0,9.0,6.0,27.6,77.0,4.5,1.2,1.0,1.0
2023-01-18,17.0,55.0,71.0,55.0,12.0,10.0,11.0,27.7,78.0,0.0,0.0,1.0,1.0
2023-01-19,18.0,53.0,63.0,53.0,11.0,9.0,10.0,27.5,81.0,3.0,1.0,2.0,8.0
2023-01-20,19.0,42.0,57.0,51.0,10.0,12.0,9.0,28.6,72.0,0.5,2.4,1.0,1.0
2023-01-21,20.0,42.0,59.0,48.8,9.0,10.0,20.0,28.6,74.0,2.3,3.0,2.0,1.0
2023-01-22,21.0,37.0,46.0,47.0,7.0,11.0,17.0,29.2,71.0,0.0,5.0,2.0,8.0
2023-01-23,22.0,21.0,32.0,41.8,6.0,13.0,12.0,28.6,70.0,0.0,6.0,2.0,8.0
2023-01-24,23.0,29.0,39.0,44.2,7.0,10.0,20.0,29.1,71.0,1.1,3.2,2.0,1.0
2023-01-25,24.0,30.0,50.0,56.0,6.0,10.0,16.0,27.2,78.0,20.6,5.5,1.0,1.0
2023-01-26,25.0,41.0,45.0,45.0,8.0,11.0,20.0,27.8,79.0,10.8,0.0,1.0,1.0
2023-01-27,26.0,47.0,56.0,44.0,11.0,21.0,25.0,27.6,80.0,27.5,2.4,1.0,1.0
2023-01-28,27.0,33.0,45.0,41.0,8.0,14.0,27.0,25.6,94.0,26.9,0.0,0.0,1.0
