Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
01-01-2021;27;80;13,8;0;1;C ;-6.155559;106.84;4
02-01-2021;27,6;78;8888;2,5;2;C ;-6.155559;106.84;4
03-01-2021;27,9;77;;3,5;2;C ;-6.155559;106.84;4
04-01-2021;28,8;75;9,4;2,7;2;C ;-6.155559;106.84;4
05-01-2021;28,4;76;0;5,2;1;C ;-6.155559;106.84;4
06-01-2021;27,2;85;8,2;2,6;1;C ;-6.155559;106.84;4
07-01-2021;26,8;84;40,5;;1;C ;-6.155559;106.84;4
08-01-2021;27,1;85;2;0;2;C ;-6.155559;106.84;4
09-01-2021;26,4;87;14,4;0,6;1;C ;-6.155559;106.84;4
10-01-2021;27,1;82;34,3;4;1;C ;-6.155559;106.84;4
11-01-2021;27,8;78;;0;2;NW;-6.155559;106.84;4
12-01-2021;27,3;82;;5;2;W ;-6.155559;106.84;4
13-01-2021;27,2;83;13,2;0,3;2;C ;-6.155559;106.84;4
14-01-2021;27,4;81;0,2;1;2;C ;-6.155559;106.84;4
15-01-2021;27,9;79;8888;0;2;C ;-6.155559;106.84;4
16-01-2021;29,2;70;;0,4;2;W ;-6.155559;106.84;4
17-01-2021;27,9;82;0;5,5;2;NW;-6.155559;106.84;4
18-01-2021;26,8;86;1,8;2,2;2;C ;-6.155559;106.84;4
19-01-2021;26,7;82;15,7;0;2;C ;-6.155559;106.84;4
20-01-2021;27,3;80;14;1,4;3;C ;-6.155559;106.84;4
21-01-2021;26,6;87;3,2;3,6;1;C ;-6.155559;106.84;4
22-01-2021;27;79;8,5;0,5;1;C ;-6.155559;106.84;4
23-01-2021;27,4;82;0;0,4;2;C ;-6.155559;106.84;4
24-01-2021;25,1;94;16,5;1,4;1;C ;-6.155559;106.84;4
25-01-2021;27,6;80;43,8;0;1;C ;-6.155559;106.84;4
26-01-2021;27,4;83;0;6;2;C ;-6.155559;106.84;4
27-01-2021;25,9;86;7;3,1;2;W ;-6.155559;106.84;4
28-01-2021;25,7;87;1,2;0,2;2;C ;-6.155559;106.84;4
29-01-2021;26,2;87;38,4;0,3;1;C ;-6.155559;106.84;4
30-01-2021;26,6;86;26,2;2,8;2;C ;-6.155559;106.84;4
31-01-2021;26,6;87;20,5;1,3;1;C ;-6.155559;106.84;4
01-02-2021;27,1;82;0,4;0,2;2;C ;-6.155559;106.84;4
02-02-2021;27,4;83;16,4;4;2;C ;-6.155559;106.84;4
03-02-2021;26,5;89;76,2;6,5;1;C ;-6.155559;106.84;4
04-02-2021;26,5;87;18;0,3;3;C ;-6.155559;106.84;4
05-02-2021;27;85;21;6,4;3;NW;-6.155559;106.84;4
06-02-2021;28,2;80;39,4;4;2;NW;-6.155559;106.84;4
07-02-2021;27,8;82;67,8;7,6;3;C ;-6.155559;106.84;4
08-02-2021;28;83;9;4,4;2;C ;-6.155559;106.84;4
09-02-2021;27,2;87;16,5;3,5;1;C ;-6.155559;106.84;4
10-02-2021;28,1;80;1,4;5,8;2;C ;-6.155559;106.84;4
11-02-2021;27,6;81;8888;2,8;2;C ;-6.155559;106.84;4
12-02-2021;27,4;82;4,2;4;2;NW;-6.155559;106.84;4
13-02-2021;27,9;79;0,8;3;2;C ;-6.155559;106.84;4
