Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
01/01/2021;26,9;85;7,7;0;2;W ;-610.781;10.688.053;3
02/01/2021;27,3;82;0,5;2,9;3;NW;-610.781;10.688.053;3
03/01/2021;28;82;;5,5;3;W ;-610.781;10.688.053;3
04/01/2021;28,6;79;2,8;2,5;3;W ;-610.781;10.688.053;3
05/01/2021;27,8;84;;7;2;W ;-610.781;10.688.053;3
06/01/2021;27,5;84;19,1;0,5;2;NW;-610.781;10.688.053;3
07/01/2021;27,3;84;32;2,5;2;NW;-610.781;10.688.053;3
08/01/2021;27,3;86;2,8;0,4;2;W ;-610.781;10.688.053;3
09/01/2021;26,2;90;3,9;0;3;W ;-610.781;10.688.053;3
10/01/2021;27;86;31,5;4;3;W ;-610.781;10.688.053;3
11/01/2021;27,9;82;0;0,2;3;W ;-610.781;10.688.053;3
12/01/2021;27,1;87;0;6,1;3;W ;-610.781;10.688.053;3
13/01/2021;27,1;86;3,5;0,7;4;NW;-610.781;10.688.053;3
14/01/2021;27,7;83;0,5;0;3;NW;-610.781;10.688.053;3
15/01/2021;27,9;82;;0;2;W ;-610.781;10.688.053;3
16/01/2021;28,9;76;;0,2;3;W ;-610.781;10.688.053;3
17/01/2021;28,2;83;0;7,9;3;NW;-610.781;10.688.053;3
18/01/2021;27,8;83;1,2;1,4;5;NW;-610.781;10.688.053;3
19/01/2021;27,5;81;7,6;0;3;N ;-610.781;10.688.053;3
20/01/2021;28,5;78;4,6;1,3;3;N ;-610.781;10.688.053;3
21/01/2021;27,3;88;4,3;5,3;2;NW;-610.781;10.688.053;3
22/01/2021;27,8;84;13,6;0;1;NW;-610.781;10.688.053;3
23/01/2021;27,4;86;0;1,5;2;C ;-610.781;10.688.053;3
24/01/2021;24,7;95;80,5;1;2;C ;-610.781;10.688.053;3
25/01/2021;27,7;84;26;0;2;NW;-610.781;10.688.053;3
26/01/2021;27,6;82;0;8,1;4;W ;-610.781;10.688.053;3
27/01/2021;25,8;89;16;5,4;4;W ;-610.781;10.688.053;3
28/01/2021;25,3;89;2;0,2;5;NW;-610.781;10.688.053;3
29/01/2021;27,4;84;33,8;1,2;4;W ;-610.781;10.688.053;3
30/01/2021;26,8;87;12;2,9;3;NW;-610.781;10.688.053;3
31/01/2021;27;86;26,5;0,9;2;C ;-610.781;10.688.053;3
01/02/2021;27,7;84;;0;3;N ;-610.781;10.688.053;3
02/02/2021;27,8;84;22,3;4,4;3;W ;-610.781;10.688.053;3
03/02/2021;26,1;92;58,3;5,1;3;NW;-610.781;10.688.053;3
04/02/2021;27,2;85;18,5;0,8;3;NW;-610.781;10.688.053;3
05/02/2021;28;81;13,6;7,5;4;NW;-610.781;10.688.053;3
06/02/2021;28,6;82;24,6;7,7;3;W ;-610.781;10.688.053;3
07/02/2021;28,4;81;20;8,3;4;NW;-610.781;10.688.053;3
08/02/2021;28,5;83;11,9;4,3;2;NW;-610.781;10.688.053;3
09/02/2021;27,4;86;14,8;4,8;3;NW;-610.781;10.688.053;3
10/02/2021;27,5;86;2;4,3;3;W ;-610.781;10.688.053;3
11/02/2021;27,5;84;0,1;1,3;2;W ;-610.781;10.688.053;3
12/02/2021;28;80;;6,4;3;NW;-610.781;10.688.053;3
13/02/2021;27,6;85;13,9;4,2;3;NW;-610.781;10.688.053;3
14/02/2021;27,8;87;8888;4;2;N ;-610.781;10.688.053;3
15/02/2021;27,5;88;36,1;0;2;NW;-610.781;10.688.053;3
16/02/2021;26;93;78;4,6;1;C ;-610.781;10.688.053;3
17/02/2021;26,1;86;39,2;0;3;NW;-610.781;10.688.053;3
18/02/2021;26,3;86;;0;3;NW;-610.781;10.688.053;3
19/02/2021;27,1;81;52,8;3,4;4;W ;-610.781;10.688.053;3
20/02/2021;28,1;81;6,3;0,5;3;NW;-610.781;10.688.053;3
21/02/2021;27,4;84;5,1;1,9;2;NW;-610.781;10.688.053;3
22/02/2021;28,1;80;8888;8,6;3;NW;-610.781;10.688.053;3
23/02/2021;28,2;81;;5,8;3;W ;-610.781;10.688.053;3
24/02/2021;28,5;77;1;3,1;4;W ;-610.781;10.688.053;3
25/02/2021;26,9;87;3,3;0;3;NW;-610.781;10.688.053;3
26/02/2021;26,9;87;30;0,6;2;N ;-610.781;10.688.053;3
27/02/2021;28,1;85;15;0;2;NE;-610.781;10.688.053;3
28/02/2021;29,3;74;0;4,8;2;W ;-610.781;10.688.053;3
01/03/2021;29;76;0,3;2,7;3;N ;-610.781;10.688.053;3
