Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
01-01-2023;25,9;93;38;1,3;2;C ;-6.10781;106.88053;3
02-01-2023;27,2;88;134,4;0,1;3;W ;-6.10781;106.88053;3
03-01-2023;26,7;83;0,7;1,1;2;W ;-6.10781;106.88053;3
04-01-2023;27;88;3,2;0,1;2;W ;-6.10781;106.88053;3
05-01-2023;27,5;84;31,3;3,5;3;W ;-6.10781;106.88053;3
06-01-2023;29,2;76;1,5;2,9;4;W ;-6.10781;106.88053;3
07-01-2023;29,2;77;1,5;6,4;3;W ;-6.10781;106.88053;3
08-01-2023;27,5;82;0;9,2;4;W ;-6.10781;106.88053;3
09-01-2023;28,9;80;3,8;5,3;3;W ;-6.10781;106.88053;3
10-01-2023;29,6;74;0;8,4;3;W ;-6.10781;106.88053;3
11-01-2023;28,3;77;;4,8;1;C ;-6.10781;106.88053;3
12-01-2023;28,9;74;0;0;1;C ;-6.10781;106.88053;3
13-01-2023;29,4;76;0;8,9;1;C ;-6.10781;106.88053;3
14-01-2023;29,3;76;;6,4;2;C ;-6.10781;106.88053;3
15-01-2023;29,3;74;0;8,8;4;W ;-6.10781;106.88053;3
16-01-2023;29;75;0;7,1;3;W ;-6.10781;106.88053;3
17-01-2023;27,5;82;;4,4;3;NW;-6.10781;106.88053;3
18-01-2023;27,8;83;8888;0,1;2;NW;-6.10781;106.88053;3
19-01-2023;27,5;85;4,5;1,8;3;NW;-6.10781;106.88053;3
20-01-2023;28,4;79;0,2;2,6;2;C ;-6.10781;106.88053;3
21-01-2023;28,2;79;0,9;7,9;3;W ;-6.10781;106.88053;3
22-01-2023;28,9;80;0;8,5;4;W ;-6.10781;106.88053;3
23-01-2023;28,3;78;0;5,8;5;W ;-6.10781;106.88053;3
24-01-2023;28,8;77;8888;4,6;5;W ;-6.10781;106.88053;3
25-01-2023;27;82;0,8;7,5;4;W ;-6.10781;106.88053;3
26-01-2023;28,3;81;8888;0;3;W ;-6.10781;106.88053;3
27-01-2023;27,5;85;4,8;4;2;W ;-6.10781;106.88053;3
28-01-2023;25,8;92;30,5;;2;W ;-6.10781;106.88053;3
29-01-2023;27,3;86;12,1;0;3;NW;-6.10781;106.88053;3
30-01-2023;28,2;80;8888;0,8;2;NW;-6.10781;106.88053;3
31-01-2023;28,1;81;0;4,4;3;NW;-6.10781;106.88053;3
01-02-2023;27,5;88;0,4;0,2;1;C ;-6.10781;106.88053;3
02-02-2023;28;86;82,5;1,4;2;C ;-6.10781;106.88053;3
03-02-2023;26,5;86;16,1;0,6;1;C ;-6.10781;106.88053;3
04-02-2023;28,2;82;0,2;0;3;NW;-6.10781;106.88053;3
05-02-2023;29;75;0;3,5;4;W ;-6.10781;106.88053;3
06-02-2023;29,3;72;8888;7,9;4;W ;-6.10781;106.88053;3
07-02-2023;28,1;80;0;5,6;2;NW;-6.10781;106.88053;3
08-02-2023;27,5;87;30,8;0,9;2;W ;-6.10781;106.88053;3
09-02-2023;27;79;0,3;2,1;4;W ;-6.10781;106.88053;3
10-02-2023;28,3;79;10;3;2;W ;-6.10781;106.88053;3
