periode_data;tanggal;stasiun;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori
202201;01/01/2022;DKI4;57;85;48;13;34;18;85;PM2,5;SEDANG
202201;02/01/2022;DKI4;40;70;45;10;36;11;70;PM2,5;SEDANG
202201;03/01/2022;DKI4;49;80;49;13;37;21;80;PM2,5;SEDANG
202201;04/01/2022;DKI4;59;102;51;14;51;26;102;PM2,5;TIDAK SEHAT
202201;05/01/2022;DKI4;95;165;53;18;55;32;165;PM2,5;TIDAK SEHAT
202201;06/01/2022;DKI4;73;117;53;16;48;42;117;PM2,5;TIDAK SEHAT
202201;07/01/2022;DKI4;71;113;48;22;38;41;113;PM2,5;TIDAK SEHAT
202201;08/01/2022;DKI4;55;77;52;17;41;29;77;PM2,5;SEDANG
202201;09/01/2022;DKI3;56;82;52;14;39;27;82;PM2,5;SEDANG
202201;10/01/2022;DKI3;60;87;51;13;36;26;87;PM2,5;SEDANG
202201;11/01/2022;DKI3;46;60;53;12;37;28;60;PM2,5;SEDANG
202201;12/01/2022;DKI4;46;59;51;15;38;29;59;PM2,5;SEDANG
202201;13/01/2022;DKI2;38;62;52;15;63;32;63;O3;SEDANG
202201;14/01/2022;DKI2;46;63;48;15;63;32;63;PM2,5;SEDANG
202201;15/01/2022;DKI3;55;69;51;15;68;29;69;PM2,5;SEDANG
202201;16/01/2022;DKI5;67;102;47;20;65;32;102;PM2,5;TIDAK SEHAT
202201;17/01/2022;DKI4;67;93;44;19;63;28;93;PM2,5;SEDANG
202201;18/01/2022;DKI4;54;67;47;14;59;33;67;PM2,5;SEDANG
202201;19/01/2022;DKI2;45;61;45;15;69;22;69;O3;SEDANG
202201;20/01/2022;DKI2;40;57;55;14;68;24;68;O3;SEDANG
202201;21/01/2022;DKI3;40;57;51;15;51;23;57;PM2,5;SEDANG
202201;22/01/2022;DKI4;52;73;51;12;39;20;73;PM2,5;SEDANG
202201;23/01/2022;DKI3;57;73;50;11;35;15;73;PM2,5;SEDANG
202201;24/01/2022;DKI3;57;74;48;11;58;18;74;PM2,5;SEDANG
202201;25/01/2022;DKI3;41;58;46;9;51;19;58;PM2,5;SEDANG
202201;26/01/2022;DKI2;38;56;45;14;57;24;57;O3;SEDANG
202201;27/01/2022;DKI3;58;75;47;14;48;25;75;PM2,5;SEDANG
202201;28/01/2022;DKI3;63;84;52;12;60;28;84;PM2,5;SEDANG
202201;29/01/2022;DKI4;65;120;52;30;52;46;120;PM2,5;TIDAK SEHAT
202201;30/01/2022;DKI4;75;129;53;25;59;50;129;PM2,5;TIDAK SEHAT
202201;31/01/2022;DKI4;72;119;58;44;53;44;119;PM2,5;TIDAK SEHAT
202202;01/02/2022;DKI3;64;89;52;13;76;21;89;PM2,5;SEDANG
202202;02/02/2022;DKI4;66;101;47;22;64;26;101;PM2,5;TIDAK SEHAT
202202;03/02/2022;DKI4;58;99;48;20;65;33;99;PM2,5;SEDANG
202202;04/02/2022;DKI3;54;72;46;12;68;27;72;PM2,5;SEDANG
202202;05/02/2022;DKI5;43;62;53;18;55;30;62;PM2,5;SEDANG
202202;06/02/2022;DKI1;39;51;58;15;57;21;58;SO2;SEDANG
202202;07/02/2022;DKI2;40;60;48;13;67;22;67;O3;SEDANG
202202;08/02/2022;DKI4;58;109;39;18;60;31;109;PM2,5;TIDAK SEHAT
202202;09/02/2022;DKI4;64;101;39;36;55;45;101;PM2,5;TIDAK SEHAT
202202;10/02/2022;DKI2;24;47;41;12;49;23;49;O3;BAIK
202202;11/02/2022;DKI5;62;95;48;20;48;33;95;PM2,5;SEDANG
202202;12/02/2022;DKI5;52;68;42;14;55;29;68;PM2,5;SEDANG
202202;13/02/2022;DKI3;70;98;41;19;55;29;98;PM2,5;SEDANG
202202;14/02/2022;DKI4;66;109;51;29;49;39;109;PM2,5;TIDAK SEHAT
202202;15/02/2022;DKI3;74;119;52;33;61;38;119;PM2,5;TIDAK SEHAT
202202;16/02/2022;DKI5;66;110;48;24;62;33;110;PM2,5;TIDAK SEHAT
202202;17/02/2022;DKI2;53;74;45;19;86;29;86;O3;SEDANG
202202;18/02/2022;DKI4;65;118;47;18;67;30;118;PM2,5;TIDAK SEHAT
202202;19/02/2022;DKI4;67;108;44;23;69;37;108;PM2,5;TIDAK SEHAT
202202;20/02/2022;DKI4;70;115;47;26;62;36;115;PM2,5;TIDAK SEHAT
202202;21/02/2022;DKI5;54;86;41;21;50;35;86;PM2,5;SEDANG
202202;22/02/2022;DKI4;54;92;42;13;56;35;92;PM2,5;SEDANG
202202;23/02/2022;DKI4;55;87;49;16;43;38;87;PM2,5;SEDANG
202202;24/02/2022;DKI4;45;71;41;14;38;21;71;PM2,5;SEDANG
202202;25/02/2022;DKI3;50;59;40;15;28;17;59;PM2,5;SEDANG
202202;26/02/2022;DKI4;40;60;39;15;28;16;60;PM2,5;SEDANG
202202;27/02/2022;DKI4;31;51;39;14;30;12;51;PM2,5;SEDANG
202202;28/02/2022;DKI5;27;50;40;12;30;11;50;PM2,5;BAIK
202203;01/03/2022;DKI5;27;50;44;11;17;12;50;PM2,5;BAIK
202203;02/03/2022;DKI2;32;51;46;15;24;15;51;PM2,5;SEDANG
202203;03/03/2022;DKI4;30;55;43;12;35;18;55;PM2,5;SEDANG
202203;04/03/2022;DKI4;32;53;41;13;45;20;53;PM2,5;SEDANG
202203;05/03/2022;DKI4;48;68;40;17;36;22;68;PM2,5;SEDANG
202203;06/03/2022;DKI4;53;90;38;21;28;18;90;PM2,5;SEDANG
202203;07/03/2022;DKI4;29;53;37;13;37;13;53;PM2,5;SEDANG
202203;08/03/2022;DKI4;55;102;40;15;45;25;102;PM2,5;TIDAK SEHAT
202203;09/03/2022;DKI4;50;75;40;20;58;28;75;PM2,5;SEDANG
202203;10/03/2022;DKI4;60;112;42;24;79;40;112;PM2,5;TIDAK SEHAT
202203;11/03/2022;DKI4;77;107;46;23;52;52;107;PM2,5;TIDAK SEHAT
202203;12/03/2022;DKI4;50;59;39;13;41;21;59;PM2,5;SEDANG
202203;13/03/2022;DKI5;46;65;43;18;36;20;65;PM2,5;SEDANG
202203;14/03/2022;DKI4;60;109;39;25;80;31;109;PM2,5;TIDAK SEHAT
202203;15/03/2022;DKI4;56;97;41;22;54;28;97;PM2,5;SEDANG
202203;16/03/2022;DKI4;51;76;41;21;53;25;76;PM2,5;SEDANG
202203;17/03/2022;DKI4;77;141;40;23;77;28;141;PM2,5;TIDAK SEHAT
202203;18/03/2022;DKI4;67;111;40;23;69;32;111;PM2,5;TIDAK SEHAT
202203;19/03/2022;DKI4;46;73;40;15;48;20;73;PM2,5;SEDANG
202203;20/03/2022;DKI4;55;71;39;13;34;14;71;PM2,5;SEDANG
202203;21/03/2022;DKI4;38;53;38;10;34;8;53;PM2,5;SEDANG
202203;22/03/2022;DKI3;50;63;38;12;35;17;63;PM2,5;SEDANG
202203;23/03/2022;DKI5;46;61;41;16;34;19;61;PM2,5;SEDANG
202203;24/03/2022;DKI4;43;65;43;15;40;22;65;PM2,5;SEDANG
202203;25/03/2022;DKI5;90;122;51;19;70;29;122;PM2,5;TIDAK SEHAT
202203;26/03/2022;DKI4;67;92;43;17;49;29;92;PM2,5;SEDANG
202203;27/03/2022;DKI5;84;126;46;49;42;51;126;PM2,5;TIDAK SEHAT
202203;28/03/2022;DKI5;49;62;40;12;59;28;62;PM2,5;SEDANG
202203;29/03/2022;DKI4;61;117;44;17;52;31;117;PM2,5;TIDAK SEHAT
202203;30/03/2022;DKI4;75;119;42;20;109;35;119;PM2,5;TIDAK SEHAT
202203;31/03/2022;DKI4;95;160;49;34;137;34;160;PM2,5;TIDAK SEHAT
202204;01/04/2022;DKI4;74;114;47;19;76;38;114;PM2,5;TIDAK SEHAT
202204;02/04/2022;DKI4;61;99;42;18;70;28;99;PM2,5;SEDANG
202204;03/04/2022;DKI4;51;74;39;14;40;17;74;PM2,5;SEDANG
202204;04/04/2022;DKI4;49;71;43;23;69;27;71;PM2,5;SEDANG
202204;05/04/2022;DKI4;73;92;53;19;73;43;92;PM2,5;SEDANG
202204;06/04/2022;DKI4;54;87;40;20;57;32;87;PM2,5;SEDANG
202204;07/04/2022;DKI4;58;90;42;22;62;35;90;PM2,5;SEDANG
202204;08/04/2022;DKI4;52;81;40;17;50;29;81;PM2,5;SEDANG
202204;09/04/2022;DKI4;50;76;42;21;59;28;76;PM2,5;SEDANG
202204;10/04/2022;DKI4;82;164;46;27;80;38;164;PM2,5;TIDAK SEHAT
202204;11/04/2022;DKI4;63;98;44;17;95;31;98;PM2,5;SEDANG
202204;12/04/2022;DKI4;71;107;52;22;78;43;107;PM2,5;TIDAK SEHAT
202204;13/04/2022;DKI2;78;116;42;21;118;40;118;O3;TIDAK SEHAT
202204;14/04/2022;DKI2;66;104;44;14;111;25;111;O3;TIDAK SEHAT
202204;15/04/2022;DKI4;61;102;41;15;81;28;102;PM2,5;TIDAK SEHAT
202204;16/04/2022;DKI4;63;119;46;16;91;21;119;PM2,5;TIDAK SEHAT
202204;17/04/2022;DKI4;76;148;52;21;93;24;148;PM2,5;TIDAK SEHAT
202204;18/04/2022;DKI4;73;135;40;13;88;14;135;PM2,5;TIDAK SEHAT
202204;19/04/2022;DKI2;52;78;41;13;84;29;84;O3;SEDANG
202204;20/04/2022;DKI4;61;105;42;18;69;34;105;PM2,5;TIDAK SEHAT
202204;21/04/2022;DKI5;46;56;41;15;43;24;56;PM2,5;SEDANG
202204;22/04/2022;DKI4;83;128;49;25;52;42;128;PM2,5;TIDAK SEHAT
202204;23/04/2022;DKI4;60;108;42;30;52;43;108;PM2,5;TIDAK SEHAT
202204;24/04/2022;DKI4;63;114;41;24;82;30;114;PM2,5;TIDAK SEHAT
202204;25/04/2022;DKI4;60;118;44;14;99;28;118;PM2,5;TIDAK SEHAT
202204;26/04/2022;DKI4;59;82;41;13;70;29;82;PM2,5;SEDANG
202204;27/04/2022;DKI4;47;91;44;13;45;26;91;PM2,5;SEDANG
202204;28/04/2022;DKI4;42;83;41;12;59;20;83;PM2,5;SEDANG
202204;29/04/2022;DKI4;35;60;40;10;46;16;60;PM2,5;SEDANG
202204;30/04/2022;DKI2;39;53;38;16;17;6;53;PM2,5;SEDANG
202205;01/05/2022;DKI4;66;126;48;24;61;26;126;PM2,5;TIDAK SEHAT
202205;02/05/2022;DKI4;58;90;41;16;82;17;90;PM2,5;SEDANG
202205;03/05/2022;DKI2;36;58;40;13;58;23;58;PM2,5;SEDANG
202205;04/05/2022;DKI4;51;85;41;11;77;18;85;PM2,5;SEDANG
202205;05/05/2022;DKI4;53;102;41;13;72;20;102;PM2,5;TIDAK SEHAT
202205;06/05/2022;DKI4;39;73;42;10;58;12;73;PM2,5;SEDANG
202205;07/05/2022;DKI4;56;92;41;12;82;13;92;PM2,5;SEDANG
202205;08/05/2022;DKI4;63;98;42;19;76;21;98;PM2,5;SEDANG
202205;09/05/2022;DKI4;58;95;44;12;73;24;95;PM2,5;SEDANG
202205;10/05/2022;DKI4;54;86;50;17;74;28;86;PM2,5;SEDANG
202205;11/05/2022;DKI2;54;75;41;12;81;26;81;O3;SEDANG
202205;12/05/2022;DKI3;61;85;54;13;63;25;85;PM2,5;SEDANG
202205;13/05/2022;DKI2;34;55;44;8;65;20;65;O3;SEDANG
202205;14/05/2022;DKI4;57;101;44;14;72;30;101;PM2,5;TIDAK SEHAT
