periode_data;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;critical;kategori
202301;01/01/2023;DKI1;44;55;47;10;24;9;55;PM25;SEDANG
202301;01/01/2023;DKI2;44;61;56;16;20;19;61;PM25;SEDANG
202301;01/01/2023;DKI3;26;43;51;5;16;2;51;SO2;SEDANG
202301;01/01/2023;DKI4;23;57;-;-;-;-;57;PM25;SEDANG
202301;01/01/2023;DKI5;30;-;21;13;14;1;52;PM10;SEDANG
202301;02/01/2023;DKI1;32;43;52;9;24;8;52;SO2;SEDANG
202301;02/01/2023;DKI2;34;43;59;15;21;19;59;SO2;SEDANG
202301;02/01/2023;DKI3;23;40;51;5;16;3;51;SO2;SEDANG
202301;02/01/2023;DKI4;27;53;53;3;12;10;53;PM25;SEDANG
202301;02/01/2023;DKI5;25;-;30;13;16;2;48;PM10;BAIK
202301;03/01/2023;DKI1;31;35;49;9;12;7;49;SO2;BAIK
202301;03/01/2023;DKI2;28;34;57;13;21;16;57;SO2;SEDANG
202301;03/01/2023;DKI3;25;32;53;4;15;-;53;SO2;SEDANG
202301;03/01/2023;DKI4;19;43;53;3;11;9;53;SO2;SEDANG
202301;03/01/2023;DKI5;22;-;28;11;15;-;49;PM10;BAIK
202301;04/01/2023;DKI1;30;47;53;11;15;9;53;SO2;SEDANG
202301;04/01/2023;DKI2;31;49;60;17;21;26;60;SO2;SEDANG
202301;04/01/2023;DKI3;30;44;53;5;15;4;53;SO2;SEDANG
202301;04/01/2023;DKI4;17;51;53;4;9;10;53;SO2;SEDANG
202301;04/01/2023;DKI5;26;-;31;12;17;2;54;PM10;SEDANG
202301;05/01/2023;DKI1;38;50;50;13;26;11;50;PM25;BAIK
202301;05/01/2023;DKI2;37;53;57;26;21;35;57;SO2;SEDANG
202301;05/01/2023;DKI3;40;59;53;10;18;7;59;PM25;SEDANG
202301;05/01/2023;DKI4;21;59;53;19;14;11;59;PM25;SEDANG
202301;05/01/2023;DKI5;35;-;26;23;18;-;53;PM10;SEDANG
202301;06/01/2023;DKI1;31;48;45;10;13;7;48;PM25;BAIK
202301;06/01/2023;DKI2;30;43;56;14;18;19;56;SO2;SEDANG
202301;06/01/2023;DKI3;50;73;51;10;11;7;73;PM25;SEDANG
202301;06/01/2023;DKI4;38;68;53;16;12;10;68;PM25;SEDANG
202301;06/01/2023;DKI5;21;-;19;11;16;-;55;PM10;SEDANG
202301;07/01/2023;DKI1;25;42;44;10;9;5;44;SO2;BAIK
202301;07/01/2023;DKI2;23;44;56;11;17;15;56;SO2;SEDANG
202301;07/01/2023;DKI3;49;66;51;6;10;4;66;PM25;SEDANG
202301;07/01/2023;DKI4;30;64;53;14;9;7;64;PM25;SEDANG
202301;07/01/2023;DKI5;20;-;19;11;12;-;48;PM10;BAIK
202301;08/01/2023;DKI1;28;49;47;11;9;4;49;PM25;BAIK
202301;08/01/2023;DKI2;28;60;56;10;17;10;60;PM25;SEDANG
202301;08/01/2023;DKI3;45;62;51;6;10;3;62;PM25;SEDANG
202301;08/01/2023;DKI4;21;60;53;13;9;5;60;PM25;SEDANG
202301;08/01/2023;DKI5;20;-;23;10;12;-;58;PM25;SEDANG
202301;09/01/2023;DKI1;25;39;48;10;12;5;48;SO2;BAIK
202301;09/01/2023;DKI2;24;44;57;9;19;17;57;SO2;SEDANG
202301;09/01/2023;DKI3;46;71;51;9;10;6;71;PM25;SEDANG
202301;09/01/2023;DKI4;37;68;53;15;9;8;68;PM25;SEDANG
202301;09/01/2023;DKI5;17;-;24;10;17;-;69;PM25;SEDANG
202301;10/01/2023;DKI1;37;44;45;11;21;8;45;SO2;BAIK
202301;10/01/2023;DKI2;35;51;56;10;20;21;56;SO2;SEDANG
202301;10/01/2023;DKI3;50;70;50;8;10;6;70;PM25;SEDANG
202301;10/01/2023;DKI4;32;63;53;13;11;8;63;PM25;SEDANG
202301;10/01/2023;DKI5;27;-;23;11;17;-;53;PM25;SEDANG
202301;11/01/2023;DKI1;42;65;47;13;25;10;65;PM25;SEDANG
202301;11/01/2023;DKI2;40;65;58;18;28;27;65;PM25;SEDANG
202301;11/01/2023;DKI3;-;-;-;-;-;-;-;-;TIDAK ADA DATA
202301;11/01/2023;DKI4;36;81;54;14;23;12;81;PM25;SEDANG
202301;11/01/2023;DKI5;35;-;24;16;10;-;45;PM25;BAIK
202301;12/01/2023;DKI1;53;69;49;12;28;13;69;PM25;SEDANG
202301;12/01/2023;DKI2;69;87;60;17;38;32;87;PM25;SEDANG
202301;12/01/2023;DKI3;43;74;54;9;24;3;74;PM25;SEDANG
202301;12/01/2023;DKI4;-;111;54;15;26;14;111;PM25;TIDAK SEHAT
202301;12/01/2023;DKI5;40;-;24;19;39;8;27;PM25;BAIK
202301;13/01/2023;DKI1;57;78;47;11;26;18;78;PM25;SEDANG
